required_skills,candidate_skills,degree,years_experience,overlap,fit,probability,missing_skills
"docker, git, kubernetes, node.js, python, tableau, typescript","ci/cd, docker, gcp, hadoop, kubernetes, linux, numpy, pandas, react, typescript",1.0,5.7,3.0,1.0,0.621,"git, node.js, python, tableau"
"aws, flask, numpy, sql, scikit-learn, spark","airflow, ci/cd, gcp, graphql, hadoop, python, spark, tableau, tensorflow",2.0,1.6,1.0,0.0,0.358,"aws, flask, numpy, sql, scikit-learn"
"aws, ci/cd, docker, etl, gcp, javascript, kubernetes, python","django, docker, graphql, tensorflow",2.0,1.8,1.0,0.0,0.364,"aws, ci/cd, etl, gcp, javascript, kubernetes, python"
"aws, excel, javascript, kubernetes, pytorch, rest, spark, tensorflow","etl, python, react, typescript",1.0,4.0,0.0,0.0,0.27,"aws, excel, javascript, kubernetes, pytorch, rest, spark, tensorflow"
"ci/cd, django, linux, pytorch, python, spark","airflow, excel, git, javascript, react, tableau, tensorflow",1.0,5.0,0.0,0.0,0.3,"ci/cd, django, linux, pytorch, python, spark"
"flask, gcp, pandas, pytorch, react, spark","aws, linux, pandas, power bi, sql",1.0,3.7,1.0,0.0,0.361,"flask, gcp, pytorch, react, spark"
"airflow, linux, react, tensorflow, typescript","django, etl, flask, gcp, java, python, tensorflow",3.0,0.3,1.0,0.0,0.319,"airflow, linux, react, typescript"
"airflow, hadoop, javascript, kubernetes, pytorch, scikit-learn, typescript","aws, airflow, azure, docker, git, linux, python, tableau, typescript",2.0,3.5,2.0,1.0,0.515,"hadoop, javascript, kubernetes, pytorch, scikit-learn"
"django, excel, graphql, pandas, tensorflow","aws, azure, java, pandas, python, rest",1.0,5.8,1.0,1.0,0.424,"django, excel, graphql, tensorflow"
"aws, django, docker, rest, scikit-learn, typescript","airflow, azure, flask, numpy, rest, sql, spark, tensorflow",3.0,1.4,1.0,0.0,0.352,"aws, django, docker, scikit-learn, typescript"
"aws, django, kubernetes, node.js, numpy","ci/cd, etl, java, javascript, python, sql",3.0,0.0,0.0,0.0,0.21,"aws, django, kubernetes, node.js, numpy"
"docker, gcp, graphql, pytorch, spark","airflow, django, graphql, node.js, numpy, pandas, python, r, tensorflow",1.0,4.5,1.0,0.0,0.385,"docker, gcp, pytorch, spark"
"airflow, azure, ci/cd, excel, gcp, kubernetes, node.js, python","aws, graphql, pytorch, rest, tableau",1.0,3.7,0.0,0.0,0.261,"airflow, azure, ci/cd, excel, gcp, kubernetes, node.js, python"
"aws, etl, excel, javascript, node.js, power bi, pytorch","aws, airflow, docker, gcp, javascript, pandas, sql",1.0,5.5,2.0,1.0,0.515,"etl, excel, node.js, power bi, pytorch"
"airflow, django, docker, git, javascript, power bi, spark","ci/cd, django, javascript, linux, numpy, pandas, power bi",1.0,7.5,3.0,1.0,0.675,"airflow, docker, git, spark"
"airflow, azure, docker, git, node.js, numpy, spark, tableau","git, graphql, hadoop, numpy, python, scikit-learn, tableau",2.0,1.9,3.0,1.0,0.567,"airflow, azure, docker, node.js, spark"
"excel, pytorch, rest, react, sql","docker, excel, flask, pandas, pytorch, sql",1.0,1.4,3.0,0.0,0.492,"rest, react"
"airflow, kubernetes, r, rest, sql, spark, typescript","airflow, ci/cd, graphql, java, python, typescript",1.0,3.5,2.0,1.0,0.455,"kubernetes, r, rest, sql, spark"
"docker, etl, gcp, node.js, power bi, rest, spark","django, docker, excel, flask, hadoop, python, tableau",3.0,2.6,1.0,1.0,0.388,"etl, gcp, node.js, power bi, rest, spark"
"django, etl, pandas, react, tensorflow","django, flask, git, graphql, javascript, numpy, spark, tensorflow",1.0,3.9,2.0,1.0,0.467,"etl, pandas, react"
"docker, flask, javascript, python, r, sql, spark, tensorflow","aws, docker, excel, flask, git, pandas, python, rest, react, scikit-learn",1.0,4.9,3.0,1.0,0.597,"javascript, r, sql, spark, tensorflow"
"etl, excel, flask, sql, scikit-learn, tableau, typescript","azure, docker, etl, gcp, java, pandas, python, rest, sql",1.0,5.4,2.0,1.0,0.512,"excel, flask, scikit-learn, tableau, typescript"
"docker, etl, linux, numpy, r","azure, etl, excel, git, graphql, java, kubernetes, power bi, sql, tableau",2.0,4.4,1.0,1.0,0.442,"docker, linux, numpy, r"
"aws, azure, graphql, linux, python","airflow, ci/cd, docker, excel, graphql, hadoop, kubernetes, node.js, pandas, pytorch",1.0,4.7,1.0,0.0,0.391,"aws, azure, linux, python"
"airflow, kubernetes, linux, pytorch, scikit-learn","aws, django, docker, git, java, kubernetes, linux, tensorflow",,2.8,2.0,1.0,0.494,"airflow, pytorch, scikit-learn"
"graphql, kubernetes, linux, pandas, rest","ci/cd, django, linux, node.js",1.0,5.7,1.0,1.0,0.421,"graphql, kubernetes, pandas, rest"
"ci/cd, django, docker, graphql, tableau","ci/cd, django, gcp, pandas, r, spark",1.0,3.6,2.0,0.0,0.458,"docker, graphql, tableau"
"azure, etl, graphql, javascript, linux, r, tensorflow, typescript","airflow, ci/cd, gcp, git, node.js, pytorch, python, react",1.0,5.1,0.0,0.0,0.303,"azure, etl, graphql, javascript, linux, r, tensorflow, typescript"
"ci/cd, javascript, linux, python, react, typescript","gcp, git, pytorch, rest",2.0,3.6,0.0,0.0,0.318,"ci/cd, javascript, linux, python, react, typescript"
"django, etl, javascript, pytorch, sql, spark, tableau","gcp, hadoop, java, numpy, power bi, r, rest",1.0,0.0,0.0,0.0,0.15,"django, etl, javascript, pytorch, sql, spark, tableau"
"airflow, docker, linux, pandas, react, scikit-learn, typescript","aws, azure, etl, flask, git, r, rest, sql, scikit-learn, typescript",1.0,4.3,2.0,0.0,0.479,"airflow, docker, linux, pandas, react"
"airflow, etl, node.js, r, spark","azure, django, flask, javascript, kubernetes, linux, react, typescript",2.0,1.4,0.0,1.0,0.252,"airflow, etl, node.js, r, spark"
"airflow, etl, hadoop, java, node.js, pandas, rest","hadoop, power bi, python, sql",1.0,6.3,1.0,1.0,0.439,"airflow, etl, java, node.js, pandas, rest"
"airflow, azure, ci/cd, gcp, kubernetes, node.js, rest","aws, airflow, etl, flask, pytorch, rest, react, sql, spark",1.0,3.0,2.0,1.0,0.44,"azure, ci/cd, gcp, kubernetes, node.js"
"ci/cd, django, etl, hadoop, pytorch, r, typescript","django, graphql, power bi, pytorch, r, react, sql, tableau",1.0,0.7,3.0,1.0,0.471,"ci/cd, etl, hadoop, typescript"
"airflow, azure, javascript, kubernetes, numpy, pandas, pytorch, spark","ci/cd, django, docker, flask, git, node.js, numpy",1.0,4.7,1.0,1.0,0.391,"airflow, azure, javascript, kubernetes, pandas, pytorch, spark"
"aws, airflow, azure, graphql, java, power bi, python","airflow, etl, javascript, react, sql, tensorflow",2.0,0.5,1.0,1.0,0.325,"aws, azure, graphql, java, power bi, python"
"docker, excel, power bi, r, sql","aws, gcp, git, graphql, power bi, python, react",1.0,4.2,1.0,0.0,0.376,"docker, excel, r, sql"
"docker, node.js, pandas, power bi, python","airflow, ci/cd, flask, java, r, sql, scikit-learn",1.0,1.5,0.0,0.0,0.195,"docker, node.js, pandas, power bi, python"
"aws, etl, gcp, numpy, typescript","azure, django, etl, node.js, pandas, sql, tensorflow, typescript",2.0,3.3,2.0,0.0,0.509,"aws, gcp, numpy"
"excel, graphql, java, node.js, numpy, pandas, pytorch, tableau","git, kubernetes, node.js, pytorch, typescript",1.0,0.6,2.0,1.0,0.368,"excel, graphql, java, numpy, pandas, tableau"
"airflow, azure, ci/cd, flask, hadoop, javascript, typescript","azure, django, java, react, tensorflow",2.0,2.9,1.0,1.0,0.397,"airflow, ci/cd, flask, hadoop, javascript, typescript"
"ci/cd, linux, r, rest, sql, tensorflow","aws, linux, pandas, scikit-learn, typescript",2.0,2.2,1.0,1.0,0.376,"ci/cd, r, rest, sql, tensorflow"
"azure, etl, graphql, javascript, node.js","airflow, etl, excel, kubernetes, tableau, tensorflow",2.0,0.8,1.0,0.0,0.334,"azure, graphql, javascript, node.js"
"docker, git, graphql, java, kubernetes, power bi, typescript","airflow, etl, node.js, power bi",2.0,1.9,1.0,0.0,0.367,"docker, git, graphql, java, kubernetes, typescript"
"azure, ci/cd, hadoop, javascript, node.js, r, tensorflow, typescript","gcp, hadoop, kubernetes, python, sql",2.0,5.0,1.0,1.0,0.46,"azure, ci/cd, javascript, node.js, r, tensorflow, typescript"
"aws, airflow, azure, graphql, javascript, node.js, tensorflow","etl, gcp, spark, tableau, tensorflow",2.0,3.6,1.0,1.0,0.418,"aws, airflow, azure, graphql, javascript, node.js"
"azure, flask, node.js, pandas, r, sql, spark, typescript","aws, airflow, java, pytorch, r, react, sql, tableau",2.0,5.0,2.0,0.0,0.56,"azure, flask, node.js, pandas, spark, typescript"
"aws, hadoop, javascript, tableau, tensorflow","airflow, azure, excel, gcp, git, javascript, pandas, scikit-learn, spark, tableau",1.0,3.3,2.0,0.0,0.449,"aws, hadoop, tensorflow"
"aws, ci/cd, excel, git, linux, power bi, spark, tableau","airflow, flask, graphql, power bi, pytorch, python, rest, sql, tensorflow",1.0,5.9,1.0,1.0,0.427,"aws, ci/cd, excel, git, linux, spark, tableau"
"azure, docker, excel, flask, graphql, linux, react","aws, hadoop, node.js, pandas, r, scikit-learn, tensorflow",2.0,3.4,0.0,0.0,0.312,"azure, docker, excel, flask, graphql, linux, react"
"aws, azure, flask, gcp, pytorch","etl, gcp, git, java, kubernetes, linux, node.js, sql, spark",1.0,1.7,1.0,1.0,0.301,"aws, azure, flask, pytorch"
"azure, flask, git, react, scikit-learn, tableau","airflow, etl, javascript, pytorch, sql, scikit-learn",1.0,0.0,1.0,0.0,0.25,"azure, flask, git, react, tableau"
"airflow, etl, git, rest, react, sql, tableau, typescript","gcp, java, pytorch, r",1.0,2.4,0.0,1.0,0.222,"airflow, etl, git, rest, react, sql, tableau, typescript"
"airflow, linux, pandas, power bi, pytorch, scikit-learn, spark, tensorflow","aws, azure, django, git, java, javascript, pytorch, scikit-learn",2.0,5.4,2.0,0.0,0.572,"airflow, linux, pandas, power bi, spark, tensorflow"
"azure, django, flask, javascript, numpy","airflow, azure, ci/cd, excel, hadoop, node.js, numpy, r, tensorflow, typescript",1.0,5.0,2.0,0.0,0.5,"django, flask, javascript"
"airflow, azure, excel, java, linux, power bi, spark, typescript","linux, pandas, r, sql",1.0,5.7,1.0,0.0,0.421,"airflow, azure, excel, java, power bi, spark, typescript"
"azure, django, flask, node.js, pytorch, python","airflow, azure, docker, flask, graphql, hadoop, java, react, spark, tensorflow",1.0,5.6,2.0,1.0,0.518,"django, node.js, pytorch, python"
"ci/cd, docker, excel, java, pytorch, r, scikit-learn","excel, flask, kubernetes, node.js, numpy, r, rest, tensorflow",1.0,3.6,2.0,0.0,0.458,"ci/cd, docker, java, pytorch, scikit-learn"
"django, graphql, hadoop, linux, pandas, pytorch, r","ci/cd, flask, gcp, linux, node.js, pandas, scikit-learn, spark, tableau",2.0,4.3,2.0,0.0,0.539,"django, graphql, hadoop, pytorch, r"
"azure, django, flask, numpy, python, sql, typescript","django, etl, numpy, react, sql",1.0,2.3,3.0,0.0,0.519,"azure, flask, python, typescript"
"flask, graphql, kubernetes, pandas, power bi, scikit-learn, spark, tensorflow","java, numpy, pandas, power bi, react, spark",1.0,5.0,3.0,1.0,0.6,"flask, graphql, kubernetes, scikit-learn, tensorflow"
"azure, docker, git, graphql, hadoop, javascript, python, tableau","ci/cd, gcp, git, java, kubernetes, linux, node.js, r, typescript",1.0,0.3,1.0,0.0,0.259,"azure, docker, graphql, hadoop, javascript, python, tableau"
"aws, airflow, django, gcp, hadoop, react, tableau, typescript","airflow, docker, pandas, sql, spark, tableau",2.0,6.3,2.0,1.0,0.599,"aws, django, gcp, hadoop, react, typescript"
"docker, hadoop, kubernetes, linux, numpy, python, scikit-learn","azure, django, etl, git, graphql, kubernetes, pytorch, r, rest",1.0,4.7,1.0,1.0,0.391,"docker, hadoop, linux, numpy, python, scikit-learn"
"django, etl, excel, graphql, kubernetes, numpy, sql, scikit-learn","excel, flask, git, kubernetes, numpy, power bi, pytorch, rest, spark",3.0,3.8,3.0,1.0,0.624,"django, etl, graphql, sql, scikit-learn"
"azure, docker, git, python, sql, spark","docker, excel, flask, linux, pytorch, rest, tensorflow",1.0,2.8,1.0,0.0,0.334,"azure, git, python, sql, spark"
"docker, etl, flask, linux, pandas, rest, tensorflow","aws, ci/cd, django, etl, excel, graphql, hadoop, spark, typescript",0.0,3.6,1.0,0.0,0.358,"docker, flask, linux, pandas, rest, tensorflow"
"excel, java, javascript, linux, react","excel, gcp, graphql, react, scikit-learn, tensorflow",2.0,5.5,2.0,0.0,0.575,"java, javascript, linux"
"aws, django, docker, gcp, rest, react, tensorflow","ci/cd, docker, etl, kubernetes, linux, scikit-learn, tableau",1.0,2.6,1.0,0.0,0.328,"aws, django, gcp, rest, react, tensorflow"
"flask, git, graphql, java, kubernetes, linux, scikit-learn","graphql, node.js, numpy, pandas, r, react, sql, spark, tensorflow, typescript",2.0,0.0,1.0,1.0,0.31,"flask, git, java, kubernetes, linux, scikit-learn"
"excel, flask, git, pytorch, tensorflow","azure, docker, excel, hadoop, java, kubernetes, pytorch, r, tableau",1.0,3.2,2.0,0.0,0.446,"flask, git, tensorflow"
"django, docker, excel, hadoop, power bi, r, scikit-learn, typescript","airflow, etl, excel, javascript, pandas, scikit-learn, typescript",1.0,3.5,3.0,1.0,0.555,"django, docker, hadoop, power bi, r"
"azure, etl, javascript, scikit-learn, spark, tensorflow","airflow, ci/cd, excel, kubernetes, power bi, pytorch, r, rest, react, spark",1.0,7.0,1.0,1.0,0.46,"azure, etl, javascript, scikit-learn, tensorflow"
"airflow, docker, gcp, java, pytorch","airflow, ci/cd, scikit-learn, typescript",1.0,3.8,1.0,0.0,0.364,"docker, gcp, java, pytorch"
"aws, gcp, git, linux, python, scikit-learn","docker, flask, gcp, git, hadoop, javascript, linux, numpy, python, r",1.0,2.8,4.0,0.0,0.634,"aws, scikit-learn"
"docker, java, linux, sql, tensorflow","gcp, hadoop, linux, r, tableau, typescript",1.0,1.9,1.0,0.0,0.307,"docker, java, sql, tensorflow"
"excel, graphql, hadoop, numpy, pandas, python, r, sql","git, kubernetes, numpy, pandas, pytorch, sql, tensorflow, typescript",1.0,0.0,3.0,1.0,0.45,"excel, graphql, hadoop, python, r"
"azure, ci/cd, etl, excel, node.js, numpy","ci/cd, etl, node.js, tableau",1.0,3.0,3.0,0.0,0.54,"azure, excel, numpy"
"java, javascript, kubernetes, numpy, pandas","django, graphql, linux, react, spark",3.0,4.7,0.0,0.0,0.351,"java, javascript, kubernetes, numpy, pandas"
"aws, azure, docker, graphql, java, javascript, rest, scikit-learn","django, gcp, hadoop, linux, numpy, python, tensorflow",1.0,4.7,0.0,0.0,0.291,"aws, azure, docker, graphql, java, javascript, rest, scikit-learn"
"etl, gcp, node.js, numpy, r, typescript","azure, django, flask, git, graphql, kubernetes, linux, pytorch, react, scikit-learn",1.0,7.8,0.0,1.0,0.384,"etl, gcp, node.js, numpy, r, typescript"
"azure, ci/cd, gcp, hadoop, node.js, r, rest, typescript","aws, etl, gcp, git, pandas, rest",1.0,4.4,2.0,0.0,0.482,"azure, ci/cd, hadoop, node.js, r, typescript"
"ci/cd, django, gcp, node.js, pytorch, python, r","aws, flask, numpy, python, sql, tensorflow, typescript",1.0,4.9,1.0,0.0,0.397,"ci/cd, django, gcp, node.js, pytorch, r"
"aws, django, docker, hadoop, javascript, rest, scikit-learn","etl, excel, gcp, graphql, kubernetes, node.js, sql, tensorflow",3.0,3.6,0.0,0.0,0.318,"aws, django, docker, hadoop, javascript, rest, scikit-learn"
"docker, etl, gcp, pandas, python, spark","numpy, pytorch, tableau, typescript",2.0,4.0,0.0,0.0,0.33,"docker, etl, gcp, pandas, python, spark"
"etl, flask, java, rest, react","excel, gcp, linux, python, scikit-learn",2.0,2.9,0.0,0.0,0.297,"etl, flask, java, rest, react"
"azure, ci/cd, graphql, node.js, numpy, tableau","airflow, ci/cd, django, excel, hadoop, node.js, r, react, tableau, tensorflow",3.0,4.4,3.0,1.0,0.642,"azure, graphql, numpy"
"ci/cd, excel, git, graphql, java, python, r","azure, javascript, pandas, pytorch, rest, spark",1.0,2.4,0.0,0.0,0.222,"ci/cd, excel, git, graphql, java, python, r"
"airflow, excel, git, kubernetes, power bi, tensorflow","airflow, azure, hadoop, tensorflow",1.0,6.7,2.0,0.0,0.551,"excel, git, kubernetes, power bi"
"power bi, pytorch, react, scikit-learn, tensorflow","aws, docker, gcp, git",2.0,3.4,0.0,0.0,0.312,"power bi, pytorch, react, scikit-learn, tensorflow"
"etl, kubernetes, node.js, scikit-learn, tableau","ci/cd, docker, excel, gcp, numpy, pandas, r, scikit-learn",3.0,3.6,1.0,1.0,0.418,"etl, kubernetes, node.js, tableau"
"airflow, gcp, git, javascript, spark","aws, airflow, azure, django, flask, kubernetes, linux, power bi, rest",2.0,4.3,1.0,0.0,0.439,"gcp, git, javascript, spark"
"aws, gcp, java, node.js, react, spark","docker, excel, git, graphql, node.js, pandas, r, sql, scikit-learn, spark",1.0,0.0,2.0,0.0,0.35,"aws, gcp, java, react"
"azure, excel, graphql, java, kubernetes, node.js, pandas, scikit-learn","airflow, ci/cd, excel, git, graphql, javascript, kubernetes, pytorch, tableau",2.0,4.8,3.0,1.0,0.654,"azure, java, node.js, pandas, scikit-learn"
"ci/cd, excel, hadoop, node.js, pandas, power bi, pytorch","aws, airflow, azure, node.js, numpy, pandas, pytorch, react, scikit-learn, tableau",2.0,6.0,3.0,1.0,0.69,"ci/cd, excel, hadoop, power bi"
"etl, gcp, graphql, spark, typescript","django, etl, gcp, hadoop, javascript, numpy, sql",3.0,3.1,2.0,0.0,0.503,"graphql, spark, typescript"
"airflow, django, etl, graphql, linux, spark","aws, flask, graphql, numpy, python, sql, tensorflow",1.0,1.4,1.0,0.0,0.292,"airflow, django, etl, linux, spark"
"azure, ci/cd, etl, java, tensorflow","azure, numpy, r, scikit-learn, tableau, tensorflow",1.0,3.2,2.0,0.0,0.446,"ci/cd, etl, java"
"docker, git, javascript, python, tableau","etl, javascript, node.js, r, rest, sql, spark, tableau, tensorflow, typescript",1.0,8.4,2.0,1.0,0.602,"docker, git, python"
"azure, excel, node.js, pandas, tableau","docker, excel, flask, git, kubernetes, linux, numpy, r, sql, tableau",1.0,4.5,2.0,0.0,0.485,"azure, node.js, pandas"
"aws, azure, etl, hadoop, linux, pandas, python, typescript","ci/cd, docker, etl, graphql, kubernetes, pandas, power bi, pytorch, spark",1.0,0.2,2.0,0.0,0.356,"aws, azure, hadoop, linux, python, typescript"
"graphql, java, javascript, pandas, pytorch, r, rest, sql","docker, etl, excel, java, javascript, pytorch, scikit-learn, tensorflow, typescript",1.0,3.8,3.0,0.0,0.564,"graphql, pandas, r, rest, sql"
"aws, ci/cd, java, power bi, react, spark","aws, gcp, linux, react",1.0,3.6,2.0,0.0,0.458,"ci/cd, java, power bi, spark"
"airflow, azure, etl, flask, python, spark","ci/cd, docker, etl, kubernetes, sql, spark",1.0,6.3,2.0,0.0,0.539,"airflow, azure, flask, python"
"excel, gcp, git, java, power bi, python","flask, node.js, pandas, sql, typescript",0.0,2.8,0.0,0.0,0.234,"excel, gcp, git, java, power bi, python"
"flask, linux, numpy, python, react","ci/cd, docker, etl, git, kubernetes, r, rest, sql, tensorflow, typescript",1.0,4.7,0.0,1.0,0.291,"flask, linux, numpy, python, react"
"airflow, django, docker, etl, gcp, scikit-learn, spark","airflow, azure, ci/cd, hadoop, java, r, spark",1.0,3.8,2.0,0.0,0.464,"django, docker, etl, gcp, scikit-learn"
"excel, graphql, power bi, r, sql","azure, flask, java, pytorch, rest, spark, tableau, tensorflow",1.0,3.1,0.0,0.0,0.243,"excel, graphql, power bi, r, sql"
"ci/cd, excel, kubernetes, linux, node.js, pytorch, react","aws, flask, graphql, hadoop, node.js, numpy, r, scikit-learn, spark",2.0,3.9,1.0,1.0,0.427,"ci/cd, excel, kubernetes, linux, pytorch, react"
"django, etl, flask, java, linux, power bi, rest, react","flask, java, linux, node.js, sql, spark, tensorflow",1.0,5.7,3.0,1.0,0.621,"django, etl, power bi, rest, react"
"etl, gcp, hadoop, kubernetes, linux, pytorch, react, typescript","graphql, java, numpy, pandas, python, r, spark, typescript",1.0,2.3,1.0,0.0,0.319,"etl, gcp, hadoop, kubernetes, linux, pytorch, react"
"aws, gcp, git, javascript, tableau","aws, django, hadoop, pandas, pytorch, sql, spark, typescript",1.0,2.2,1.0,1.0,0.316,"gcp, git, javascript, tableau"
"ci/cd, git, pytorch, python, tensorflow","aws, etl, javascript, node.js, pandas, pytorch, r, sql",1.0,5.0,1.0,1.0,0.4,"ci/cd, git, python, tensorflow"
"airflow, docker, flask, hadoop, java","etl, git, python, sql",1.0,1.7,0.0,1.0,0.201,"airflow, docker, flask, hadoop, java"
"ci/cd, docker, etl, gcp, pandas, power bi, python, spark","flask, git, kubernetes, linux, node.js, python, react, scikit-learn, tensorflow",2.0,4.5,1.0,0.0,0.445,"ci/cd, docker, etl, gcp, pandas, power bi, spark"
"aws, django, excel, hadoop, javascript, pytorch, typescript","aws, airflow, django, docker, flask, pandas, python, tableau, tensorflow, typescript",1.0,6.6,3.0,1.0,0.648,"excel, hadoop, javascript, pytorch"
"aws, airflow, django, pandas, sql, spark","airflow, javascript, r, tableau",1.0,5.8,1.0,0.0,0.424,"aws, django, pandas, sql, spark"
"aws, azure, gcp, graphql, javascript, rest, tensorflow","docker, etl, excel, react, tableau, typescript",1.0,4.2,0.0,1.0,0.276,"aws, azure, gcp, graphql, javascript, rest, tensorflow"
"aws, numpy, pandas, power bi, sql","docker, etl, kubernetes, linux, numpy",1.0,2.0,1.0,1.0,0.31,"aws, pandas, power bi, sql"
"hadoop, javascript, linux, node.js, pytorch, spark","docker, graphql, hadoop, kubernetes, node.js",1.0,3.3,2.0,1.0,0.449,"javascript, linux, pytorch, spark"
"airflow, azure, django, kubernetes, pytorch, python, react","azure, ci/cd, java, node.js, pandas, rest, scikit-learn, spark, typescript",1.0,5.1,1.0,0.0,0.403,"airflow, django, kubernetes, pytorch, python, react"
"django, etl, flask, git, r, rest, spark","aws, flask, hadoop, javascript, kubernetes, power bi, sql, scikit-learn, tableau",1.0,3.0,1.0,1.0,0.34,"django, etl, git, r, rest, spark"
"aws, excel, kubernetes, linux, react","azure, django, docker, etl, git, numpy, r, tensorflow, typescript",1.0,3.8,0.0,0.0,0.264,"aws, excel, kubernetes, linux, react"
"aws, docker, git, numpy, tensorflow","ci/cd, git, graphql, linux, node.js, pytorch, react, tensorflow, typescript",1.0,6.5,2.0,0.0,0.545,"aws, docker, numpy"
"java, kubernetes, linux, node.js, rest, sql, tensorflow","azure, ci/cd, gcp, scikit-learn",1.0,3.8,0.0,0.0,0.264,"java, kubernetes, linux, node.js, rest, sql, tensorflow"
"airflow, ci/cd, kubernetes, pandas, pytorch, r, tableau","airflow, ci/cd, docker, graphql, hadoop, linux, sql, tensorflow",1.0,0.0,2.0,0.0,0.35,"kubernetes, pandas, pytorch, r, tableau"
"docker, javascript, kubernetes, numpy, pandas, scikit-learn, typescript","linux, scikit-learn, tableau, tensorflow, typescript",0.0,0.6,2.0,1.0,0.368,"docker, javascript, kubernetes, numpy, pandas"
"flask, git, graphql, pytorch, rest, typescript","javascript, numpy, r, rest, react",1.0,4.9,1.0,0.0,0.397,"flask, git, graphql, pytorch, typescript"
"aws, azure, docker, graphql, power bi, tableau","rest, sql, spark, typescript",1.0,6.3,0.0,1.0,0.339,"aws, azure, docker, graphql, power bi, tableau"
"aws, airflow, docker, excel, rest, tableau","aws, azure, flask, graphql, node.js, numpy, r, scikit-learn, spark",2.0,5.1,1.0,0.0,0.463,"airflow, docker, excel, rest, tableau"
"django, excel, rest, scikit-learn, spark, tableau, tensorflow","node.js, numpy, r, spark",1.0,3.4,1.0,0.0,0.352,"django, excel, rest, scikit-learn, tableau, tensorflow"
"django, etl, git, java, numpy, spark","hadoop, java, node.js, numpy, pandas",2.0,7.0,2.0,0.0,0.62,"django, etl, git, spark"
"aws, docker, graphql, java, linux, power bi, react, spark","django, excel, hadoop, java, kubernetes, node.js, power bi, rest, react, scikit-learn",1.0,1.3,3.0,1.0,0.489,"aws, docker, graphql, linux, spark"
"flask, gcp, java, power bi, rest, typescript","airflow, azure, ci/cd, git, python, r, scikit-learn, tensorflow, typescript",1.0,5.2,1.0,0.0,0.406,"flask, gcp, java, power bi, rest"
"azure, excel, flask, hadoop, javascript, python, r, typescript","etl, excel, graphql, pytorch",2.0,5.8,1.0,0.0,0.484,"azure, flask, hadoop, javascript, python, r, typescript"
"gcp, git, java, linux, spark, tableau","aws, airflow, etl, excel, graphql, hadoop, numpy, react, tableau",2.0,6.4,1.0,0.0,0.502,"gcp, git, java, linux, spark"
"aws, django, gcp, hadoop, javascript, rest, tableau","aws, docker, excel, gcp, javascript, linux, python, sql, scikit-learn, tableau",1.0,1.0,4.0,0.0,0.58,"django, hadoop, rest"
"docker, etl, flask, gcp, java, power bi, r, typescript","etl, linux, rest, react, sql, scikit-learn, spark",1.0,3.4,1.0,0.0,0.352,"docker, flask, gcp, java, power bi, r, typescript"
"excel, graphql, hadoop, java, pandas, power bi, pytorch","aws, excel, linux, r",1.0,1.0,1.0,0.0,0.28,"graphql, hadoop, java, pandas, power bi, pytorch"
"airflow, javascript, numpy, power bi, scikit-learn","airflow, ci/cd, django, excel, git, linux, r, react, spark, tensorflow",1.0,3.5,1.0,0.0,0.355,"javascript, numpy, power bi, scikit-learn"
"hadoop, kubernetes, react, tensorflow, typescript","aws, django, flask, graphql, pytorch, r, rest, react, tensorflow",1.0,4.4,2.0,0.0,0.482,"hadoop, kubernetes, typescript"
"django, etl, gcp, git, java, linux, pytorch, r","django, excel, flask, graphql, hadoop, scikit-learn, tableau",2.0,0.6,1.0,1.0,0.328,"etl, gcp, git, java, linux, pytorch, r"
"aws, power bi, rest, scikit-learn, spark, tableau","azure, excel, hadoop, numpy, r, tableau",1.0,4.6,1.0,0.0,0.388,"aws, power bi, rest, scikit-learn, spark"
"etl, flask, kubernetes, numpy, power bi, scikit-learn, typescript","django, docker, git, linux, tensorflow",1.0,2.2,0.0,1.0,0.216,"etl, flask, kubernetes, numpy, power bi, scikit-learn, typescript"
"azure, node.js, numpy, power bi, sql","django, docker, etl, scikit-learn, tableau",2.0,0.5,0.0,0.0,0.225,"azure, node.js, numpy, power bi, sql"
"django, flask, kubernetes, python, react, scikit-learn, typescript","azure, django, flask, gcp, git, graphql, java, r, react, tensorflow",1.0,1.2,3.0,0.0,0.486,"kubernetes, python, scikit-learn, typescript"
"aws, docker, javascript, kubernetes, linux, node.js, r, tensorflow","airflow, ci/cd, etl, numpy",1.0,4.3,0.0,0.0,0.279,"aws, docker, javascript, kubernetes, linux, node.js, r, tensorflow"
"gcp, git, rest, react, spark","django, etl, excel, flask, gcp, git, java, power bi, typescript",1.0,2.7,2.0,1.0,0.431,"rest, react, spark"
"airflow, ci/cd, gcp, git, kubernetes, power bi, python","airflow, ci/cd, hadoop, pandas, rest",1.0,2.5,2.0,0.0,0.425,"gcp, git, kubernetes, power bi, python"
"django, graphql, java, node.js, pandas, sql, spark","django, flask, hadoop, numpy, pytorch, python, sql, spark",1.0,3.1,3.0,0.0,0.543,"graphql, java, node.js, pandas"
"aws, hadoop, power bi, r, react, sql, tensorflow, typescript","hadoop, linux, node.js, power bi, r, spark, tableau, typescript",1.0,3.1,4.0,0.0,0.643,"aws, react, sql, tensorflow"
"azure, power bi, pytorch, rest, react, typescript","ci/cd, hadoop, linux, power bi, sql",1.0,5.3,1.0,1.0,0.409,"azure, pytorch, rest, react, typescript"
